eventName,startDate,startTime,endDate,endTime
Production Assistant Monthly Meeting,2024-12-04,15:00:00,2024-12-04,16:00:00
Baila Night,2024-12-04,19:00:00,2024-12-04,21:00:00
Capstone Meeting,2024-12-05,11:30:00,2024-12-05,12:30:00
Stage Management Book Club,2024-12-05,17:00:00,2024-12-05,18:00:00
[Chi-Ting Capstone] Opening,2024-12-05,19:00:00,2024-12-05,20:00:00
Yeji Han and Dena Ahmed,2024-12-05,19:00:00,2024-12-05,19:15:00
Attitude recital,2024-12-08,17:30:00,2024-12-08,18:30:00
Last day of classes,2024-12-10,00:00:00,2024-12-11,00:00:00
Social Robot for ADHD Capstone,2024-12-10,10:00:00,2024-12-10,11:00:00
IM Showcase,2024-12-10,17:00:00,2024-12-10,20:00:00
Midnight breakfast,2024-12-10,22:00:00,2024-12-11,00:00:00
Reading day,2024-12-11,00:00:00,2024-12-12,00:00:00
