eventName,startDate,startTime,endDate,endTime
Review lecture slides,2024-12-14,08:00,2024-12-14,09:30
Short Break,2024-12-14,09:30,2024-12-14,09:45
Read research papers,2024-12-14,09:45,2024-12-14,11:15
Meal Break,2024-12-14,11:15,2024-12-14,11:45
Read research papers,2024-12-14,11:45,2024-12-14,13:15
Short Break,2024-12-14,13:15,2024-12-14,13:30
Prepare a presentation,2024-12-14,13:30,2024-12-14,15:00
Short Break,2024-12-14,15:00,2024-12-14,15:15
Prepare a presentation,2024-12-14,15:15,2024-12-14,16:45
Short Break,2024-12-14,16:45,2024-12-14,17:00
Prepare a presentation,2024-12-14,17:00,2024-12-14,18:30
Short Break,2024-12-14,18:30,2024-12-14,18:45
Free time / Relaxation,2024-12-14,18:45,2024-12-14,20:00
